model,term,beta,se,ci_low,ci_high,p,note
primary_ClAIR_HC3,Intercept,0.947043,0.234985,0.486481,1.407606,5.6e-05,"HC3 robust; CI, p and SE all from this object"
primary_ClAIR_HC3,C(role)[T.Advanced Practitioner (Nurse Practitioner or Physician Assistant)],0.304014,0.108627,0.091108,0.516919,0.005131,"HC3 robust; CI, p and SE all from this object"
primary_ClAIR_HC3,C(role)[T.Physician],0.268947,0.105666,0.061846,0.476049,0.01092,"HC3 robust; CI, p and SE all from this object"
primary_ClAIR_HC3,C(role)[T.Resident or Fellow],-0.018466,0.165769,-0.343368,0.306435,0.911302,"HC3 robust; CI, p and SE all from this object"
primary_ClAIR_HC3,age,-0.002043,0.002885,-0.007698,0.003612,0.478807,"HC3 robust; CI, p and SE all from this object"
primary_ClAIR_HC3,woman,-0.264238,0.067996,-0.397508,-0.130968,0.000102,"HC3 robust; CI, p and SE all from this object"
primary_ClAIR_HC3,ai_knowledge,0.435767,0.049047,0.339638,0.531897,0.0,"HC3 robust; CI, p and SE all from this object"
primary_ClAIR_HC3,ai_required_likelihood,0.219698,0.058195,0.105638,0.333758,0.00016,"HC3 robust; CI, p and SE all from this object"
primary_ClAIR_HC3,ai_training,0.082115,0.064248,-0.043809,0.208038,0.201217,"HC3 robust; CI, p and SE all from this object"
primary_ClAIR_HC3,ai_experience,0.012717,0.046323,-0.078075,0.103509,0.783681,"HC3 robust; CI, p and SE all from this object"
primary_ClAIR_HC3,current_ai_use,0.030744,0.043291,-0.054104,0.115593,0.47759,"HC3 robust; CI, p and SE all from this object"
complete5_ClAIR_HC3,Intercept,0.931636,0.235322,0.470413,1.392858,7.5e-05,
complete5_ClAIR_HC3,C(role)[T.Advanced Practitioner (Nurse Practitioner or Physician Assistant)],0.306348,0.109514,0.091705,0.520991,0.005152,
complete5_ClAIR_HC3,C(role)[T.Physician],0.268556,0.107826,0.057221,0.479891,0.012751,
complete5_ClAIR_HC3,C(role)[T.Resident or Fellow],-0.014458,0.166812,-0.341402,0.312487,0.930933,
complete5_ClAIR_HC3,age,-0.001649,0.002959,-0.007448,0.004151,0.577408,
complete5_ClAIR_HC3,woman,-0.261636,0.068763,-0.396409,-0.126863,0.000142,
complete5_ClAIR_HC3,ai_knowledge,0.435873,0.049623,0.338614,0.533131,0.0,
complete5_ClAIR_HC3,ai_required_likelihood,0.219558,0.058171,0.105544,0.333572,0.00016,
complete5_ClAIR_HC3,ai_training,0.095556,0.066157,-0.034108,0.225221,0.148627,
complete5_ClAIR_HC3,ai_experience,0.006295,0.048881,-0.08951,0.102099,0.897534,
complete5_ClAIR_HC3,current_ai_use,0.033536,0.043892,-0.052492,0.119563,0.444842,
no_AIknowledge_HC3,Intercept,1.51856,0.263574,1.001965,2.035154,0.0,same N as primary
no_AIknowledge_HC3,C(role)[T.Advanced Practitioner (Nurse Practitioner or Physician Assistant)],0.228591,0.12571,-0.017796,0.474978,0.069003,same N as primary
no_AIknowledge_HC3,C(role)[T.Physician],0.325872,0.118871,0.09289,0.558855,0.006118,same N as primary
no_AIknowledge_HC3,C(role)[T.Resident or Fellow],-0.036305,0.25335,-0.532862,0.460251,0.886053,same N as primary
no_AIknowledge_HC3,age,-0.002482,0.003244,-0.008841,0.003876,0.444157,same N as primary
no_AIknowledge_HC3,woman,-0.297426,0.081349,-0.456867,-0.137985,0.000256,same N as primary
no_AIknowledge_HC3,ai_required_likelihood,0.318957,0.06579,0.190011,0.447903,1e-06,same N as primary
no_AIknowledge_HC3,ai_training,0.214148,0.071859,0.073308,0.354989,0.002881,same N as primary
no_AIknowledge_HC3,ai_experience,0.149026,0.04969,0.051636,0.246417,0.002707,same N as primary
no_AIknowledge_HC3,current_ai_use,0.07894,0.047175,-0.013522,0.171402,0.094262,same N as primary
indicator_coding_HC3,Intercept,0.983219,0.239828,0.513165,1.453274,4.1e-05,tests the linear No<Unsure<Yes assumption
indicator_coding_HC3,C(role)[T.Advanced Practitioner (Nurse Practitioner or Physician Assistant)],0.307647,0.110964,0.090161,0.525133,0.005563,tests the linear No<Unsure<Yes assumption
indicator_coding_HC3,C(role)[T.Physician],0.255566,0.107101,0.045652,0.465479,0.017023,tests the linear No<Unsure<Yes assumption
indicator_coding_HC3,C(role)[T.Resident or Fellow],-0.020969,0.174749,-0.36347,0.321532,0.904486,tests the linear No<Unsure<Yes assumption
indicator_coding_HC3,age,-0.00187,0.002884,-0.007523,0.003783,0.516729,tests the linear No<Unsure<Yes assumption
indicator_coding_HC3,woman,-0.265439,0.067895,-0.398511,-0.132368,9.2e-05,tests the linear No<Unsure<Yes assumption
indicator_coding_HC3,ai_knowledge,0.426177,0.049438,0.32928,0.523073,0.0,tests the linear No<Unsure<Yes assumption
indicator_coding_HC3,ai_required_likelihood,0.218767,0.058786,0.10355,0.333985,0.000198,tests the linear No<Unsure<Yes assumption
indicator_coding_HC3,tr_lim,0.111571,0.086867,-0.058686,0.281828,0.199006,tests the linear No<Unsure<Yes assumption
indicator_coding_HC3,tr_yes,0.078651,0.137681,-0.191198,0.3485,0.567825,tests the linear No<Unsure<Yes assumption
indicator_coding_HC3,exp_unsure,-0.082383,0.095373,-0.26931,0.104544,0.387697,tests the linear No<Unsure<Yes assumption
indicator_coding_HC3,exp_yes,0.036674,0.098831,-0.157031,0.230379,0.710581,tests the linear No<Unsure<Yes assumption
indicator_coding_HC3,use_unsure,-0.098401,0.097978,-0.290435,0.093632,0.315224,tests the linear No<Unsure<Yes assumption
indicator_coding_HC3,use_yes,0.090394,0.094421,-0.094667,0.275455,0.338389,tests the linear No<Unsure<Yes assumption
leave_out_familiarity,Intercept,1.127379,0.273859,0.590626,1.664132,3.8e-05,
leave_out_familiarity,C(role)[T.Advanced Practitioner (Nurse Practitioner or Physician Assistant)],0.455525,0.125117,0.210301,0.70075,0.000272,
leave_out_familiarity,C(role)[T.Physician],0.356461,0.122772,0.115832,0.597089,0.003691,
leave_out_familiarity,C(role)[T.Resident or Fellow],0.057418,0.202316,-0.339114,0.453949,0.776562,
leave_out_familiarity,age,-0.004284,0.003454,-0.011053,0.002486,0.214876,
leave_out_familiarity,woman,-0.318698,0.078624,-0.472799,-0.164598,5e-05,
leave_out_familiarity,ai_knowledge,0.397632,0.055912,0.288046,0.507217,0.0,
leave_out_familiarity,ai_required_likelihood,0.231685,0.06926,0.095937,0.367433,0.000822,
leave_out_familiarity,ai_training,0.075745,0.076986,-0.075145,0.226635,0.325174,
leave_out_familiarity,ai_experience,0.005752,0.054301,-0.100676,0.11218,0.915638,
leave_out_familiarity,current_ai_use,0.025681,0.052543,-0.077301,0.128663,0.625005,
leave_out_willingness,Intercept,0.838493,0.22713,0.393326,1.28366,0.000223,
leave_out_willingness,C(role)[T.Advanced Practitioner (Nurse Practitioner or Physician Assistant)],0.239586,0.111647,0.020762,0.458409,0.031879,
