model,term,beta,se,ci_low,ci_high,p,note
component_OLS_familiarity,Intercept,0.249797,0.228201,-0.197469,0.697062,0.273677,
component_OLS_familiarity,C(role)[T.Advanced Practitioner (Nurse Practitioner or Physician Assistant)],-0.301292,0.120164,-0.536809,-0.065775,0.012164,
component_OLS_familiarity,C(role)[T.Physician],-0.081921,0.118712,-0.314591,0.150749,0.490142,
component_OLS_familiarity,C(role)[T.Resident or Fellow],-0.329209,0.215858,-0.752284,0.093866,0.127231,
component_OLS_familiarity,age,0.006519,0.003036,0.000569,0.012469,0.031769,
component_OLS_familiarity,woman,-0.052427,0.078096,-0.205491,0.100638,0.502021,
component_OLS_familiarity,ai_knowledge,0.584347,0.057527,0.471596,0.697098,0.0,
component_OLS_familiarity,ai_required_likelihood,0.172669,0.048321,0.077961,0.267376,0.000352,
component_OLS_familiarity,ai_training,0.089858,0.071857,-0.05098,0.230695,0.211117,
component_OLS_familiarity,ai_experience,0.052137,0.053645,-0.053005,0.15728,0.331103,
component_OLS_familiarity,current_ai_use,0.046287,0.048244,-0.048269,0.140844,0.337336,
component_OLS_willingness,Intercept,1.35027,0.401748,0.562859,2.137682,0.000777,
component_OLS_willingness,C(role)[T.Advanced Practitioner (Nurse Practitioner or Physician Assistant)],0.558373,0.179209,0.20713,0.909616,0.001835,
component_OLS_willingness,C(role)[T.Physician],0.544518,0.173053,0.205339,0.883696,0.001652,
component_OLS_willingness,C(role)[T.Resident or Fellow],0.417417,0.296924,-0.164542,0.999377,0.159781,
component_OLS_willingness,age,-0.009493,0.004505,-0.018322,-0.000664,0.035085,
component_OLS_willingness,woman,-0.220526,0.110746,-0.437584,-0.003468,0.04645,
component_OLS_willingness,ai_knowledge,0.287698,0.07458,0.141524,0.433871,0.000115,
component_OLS_willingness,ai_required_likelihood,0.440843,0.105756,0.233565,0.648121,3.1e-05,
component_OLS_willingness,ai_training,-0.01991,0.10124,-0.218336,0.178516,0.844091,
component_OLS_willingness,ai_experience,0.01657,0.076636,-0.133633,0.166772,0.828822,
component_OLS_willingness,current_ai_use,0.078993,0.067317,-0.052946,0.210932,0.240616,
component_OLS_general_opinion,Intercept,2.863439,0.401504,2.076506,3.650373,0.0,
component_OLS_general_opinion,C(role)[T.Advanced Practitioner (Nurse Practitioner or Physician Assistant)],0.338825,0.190913,-0.035357,0.713007,0.075937,
component_OLS_general_opinion,C(role)[T.Physician],0.296111,0.198115,-0.092188,0.68441,0.135008,
component_OLS_general_opinion,C(role)[T.Resident or Fellow],0.043776,0.261512,-0.468777,0.556329,0.867059,
component_OLS_general_opinion,age,-0.004957,0.004496,-0.013769,0.003855,0.27024,
component_OLS_general_opinion,woman,-0.361356,0.121159,-0.598823,-0.123888,0.002859,
component_OLS_general_opinion,ai_knowledge,0.049798,0.080988,-0.108936,0.208532,0.538636,
component_OLS_general_opinion,ai_required_likelihood,0.197833,0.091456,0.018582,0.377084,0.03053,
component_OLS_general_opinion,ai_training,0.055617,0.139635,-0.218062,0.329296,0.690406,
component_OLS_general_opinion,ai_experience,0.024926,0.086978,-0.145547,0.195399,0.774438,
component_OLS_general_opinion,current_ai_use,0.012865,0.07288,-0.129977,0.155707,0.859886,
component_OLS_use_confidence,Intercept,0.308219,0.376307,-0.429329,1.045767,0.41275,
component_OLS_use_confidence,C(role)[T.Advanced Practitioner (Nurse Practitioner or Physician Assistant)],0.709329,0.198041,0.321175,1.097482,0.000341,
component_OLS_use_confidence,C(role)[T.Physician],0.37363,0.176792,0.027124,0.720135,0.034567,
component_OLS_use_confidence,C(role)[T.Resident or Fellow],-0.054476,0.211251,-0.468521,0.359568,0.796504,
component_OLS_use_confidence,age,-0.001719,0.004979,-0.011476,0.008039,0.729945,
component_OLS_use_confidence,woman,-0.337755,0.119527,-0.572023,-0.103487,0.004717,
component_OLS_use_confidence,ai_knowledge,0.606869,0.080224,0.449633,0.764106,0.0,
component_OLS_use_confidence,ai_required_likelihood,0.094933,0.092628,-0.086615,0.27648,0.30542,
component_OLS_use_confidence,ai_training,0.159713,0.107406,-0.050799,0.370225,0.137015,
component_OLS_use_confidence,ai_experience,-0.033158,0.083511,-0.196836,0.130521,0.691335,
component_OLS_use_confidence,current_ai_use,0.037342,0.080051,-0.119554,0.194238,0.640873,
component_OLS_discuss_confidence,Intercept,-0.070496,0.384531,-0.824162,0.68317,0.854539,
component_OLS_discuss_confidence,C(role)[T.Advanced Practitioner (Nurse Practitioner or Physician Assistant)],0.232246,0.185308,-0.130951,0.595443,0.210098,
component_OLS_discuss_confidence,C(role)[T.Physician],0.219652,0.186775,-0.14642,0.585724,0.239585,
component_OLS_discuss_confidence,C(role)[T.Resident or Fellow],-0.158992,0.301381,-0.749688,0.431703,0.597814,
component_OLS_discuss_confidence,age,-5.4e-05,0.004493,-0.008861,0.008752,0.9904,
component_OLS_discuss_confidence,woman,-0.337279,0.114847,-0.562375,-0.112182,0.003317,
component_OLS_discuss_confidence,ai_knowledge,0.645531,0.078466,0.49174,0.799322,0.0,
component_OLS_discuss_confidence,ai_required_likelihood,0.196061,0.090655,0.018381,0.373741,0.030562,
component_OLS_discuss_confidence,ai_training,0.153443,0.10989,-0.061938,0.368824,0.162615,
component_OLS_discuss_confidence,ai_experience,-0.011908,0.080272,-0.169238,0.145421,0.882066,
component_OLS_discuss_confidence,current_ai_use,-0.008325,0.083236,-0.171464,0.154815,0.920336,
