outcome,term,log_odds,se,ci_low,ci_high,p,n,llf
familiarity,age,0.025581,0.01159,0.002866,0.048296,0.027299,284,-235.453625
familiarity,woman,-0.189654,0.274699,-0.728055,0.348746,0.489938,284,-235.453625
familiarity,ai_knowledge,2.177855,0.223135,1.740519,2.615191,0.0,284,-235.453625
familiarity,ai_required_likelihood,0.630881,0.203984,0.23108,1.030682,0.001983,284,-235.453625
familiarity,ai_training,0.247851,0.263505,-0.268609,0.764311,0.346912,284,-235.453625
familiarity,ai_experience,0.159764,0.191328,-0.215232,0.534759,0.403702,284,-235.453625
familiarity,current_ai_use,0.146953,0.175795,-0.197599,0.491505,0.403193,284,-235.453625
familiarity,role_Advanced Practitioner (Nurse Practitioner or Physician Assistant),-1.222129,0.461882,-2.1274,-0.316857,0.008146,284,-235.453625
familiarity,role_Physician,-0.408749,0.444759,-1.280461,0.462963,0.358077,284,-235.453625
familiarity,role_Resident or Fellow,-1.309614,0.785366,-2.848903,0.229675,0.095411,284,-235.453625
familiarity,1/2,4.428117,0.938598,2.588498,6.267735,2e-06,284,-235.453625
familiarity,2/3,1.416917,0.085162,1.250002,1.583832,0.0,284,-235.453625
familiarity,3/4,1.143815,0.098791,0.950188,1.337442,0.0,284,-235.453625
familiarity,4/5,1.161139,0.17942,0.809483,1.512796,0.0,284,-235.453625
willingness,age,-0.022374,0.010271,-0.042504,-0.002243,0.02938,283,-342.413292
willingness,woman,-0.499673,0.240979,-0.971983,-0.027364,0.038124,283,-342.413292
willingness,ai_knowledge,0.703553,0.166139,0.377926,1.02918,2.3e-05,283,-342.413292
willingness,ai_required_likelihood,0.975068,0.192709,0.597365,1.352771,0.0,283,-342.413292
willingness,ai_training,-0.150561,0.242166,-0.625198,0.324075,0.53412,283,-342.413292
willingness,ai_experience,0.070928,0.175322,-0.272697,0.414553,0.685803,283,-342.413292
willingness,current_ai_use,0.16396,0.158785,-0.147254,0.475173,0.301796,283,-342.413292
willingness,role_Advanced Practitioner (Nurse Practitioner or Physician Assistant),1.298094,0.404646,0.505002,2.091186,0.001337,283,-342.413292
willingness,role_Physician,1.239979,0.395226,0.46535,2.014609,0.001705,283,-342.413292
willingness,role_Resident or Fellow,0.841636,0.667737,-0.467104,2.150376,0.207514,283,-342.413292
willingness,1/2,0.381661,0.884083,-1.351109,2.114431,0.665958,283,-342.413292
willingness,2/3,0.844709,0.173713,0.504238,1.185179,1e-06,283,-342.413292
willingness,3/4,0.749505,0.093502,0.566244,0.932765,0.0,283,-342.413292
willingness,4/5,0.706537,0.093563,0.523156,0.889918,0.0,283,-342.413292
general_opinion,age,-0.019728,0.010481,-0.040269,0.000814,0.059796,282,-340.421018
general_opinion,woman,-0.729415,0.251503,-1.222352,-0.236477,0.003729,282,-340.421018
general_opinion,ai_knowledge,0.290445,0.163478,-0.029966,0.610855,0.075624,282,-340.421018
general_opinion,ai_required_likelihood,0.463016,0.185101,0.100225,0.825808,0.01237,282,-340.421018
general_opinion,ai_training,0.044849,0.259608,-0.463973,0.553671,0.862842,282,-340.421018
general_opinion,ai_experience,0.054472,0.180764,-0.299819,0.408762,0.763154,282,-340.421018
general_opinion,current_ai_use,0.041821,0.164812,-0.281206,0.364847,0.799691,282,-340.421018
general_opinion,role_Advanced Practitioner (Nurse Practitioner or Physician Assistant),0.840855,0.40511,0.046854,1.634855,0.037929,282,-340.421018
general_opinion,role_Physician,0.835149,0.40894,0.03364,1.636657,0.041129,282,-340.421018
general_opinion,role_Resident or Fellow,-0.041917,0.652133,-1.320074,1.236239,0.94875,282,-340.421018
general_opinion,1/2,-1.798834,0.865167,-3.494531,-0.103137,0.037601,282,-340.421018
general_opinion,2/3,0.251106,0.213743,-0.167823,0.670034,0.240074,282,-340.421018
general_opinion,3/4,0.60482,0.100946,0.40697,0.80267,0.0,282,-340.421018
general_opinion,4/5,1.007897,0.079954,0.851189,1.164604,0.0,282,-340.421018
use_confidence,age,-0.004153,0.010271,-0.024283,0.015978,0.685968,283,-339.92589
use_confidence,woman,-0.682503,0.244157,-1.161043,-0.203964,0.005184,283,-339.92589
use_confidence,ai_knowledge,1.31274,0.179247,0.961421,1.664058,0.0,283,-339.92589
use_confidence,ai_required_likelihood,0.161453,0.188096,-0.207207,0.530114,0.390695,283,-339.92589
use_confidence,ai_training,0.260074,0.231163,-0.192998,0.713146,0.260561,283,-339.92589
use_confidence,ai_experience,-0.026405,0.170486,-0.36055,0.307741,0.876917,283,-339.92589
use_confidence,current_ai_use,0.089075,0.154195,-0.213142,0.391291,0.563482,283,-339.92589
use_confidence,role_Advanced Practitioner (Nurse Practitioner or Physician Assistant),1.469965,0.431438,0.624362,2.315567,0.000656,283,-339.92589
use_confidence,role_Physician,0.80247,0.406428,0.005886,1.599053,0.048331,283,-339.92589
use_confidence,role_Resident or Fellow,-0.160438,0.694335,-1.521309,1.200433,0.817263,283,-339.92589
use_confidence,1/2,2.965269,0.844553,1.309975,4.620563,0.000446,283,-339.92589
use_confidence,2/3,0.52566,0.09913,0.331368,0.719953,0.0,283,-339.92589
use_confidence,3/4,0.660538,0.106549,0.451705,0.869371,0.0,283,-339.92589
use_confidence,4/5,0.467695,0.191205,0.09294,0.84245,0.014444,283,-339.92589
discuss_confidence,age,0.00017,0.010214,-0.019849,0.020188,0.986749,283,-317.411714
discuss_confidence,woman,-0.821351,0.248802,-1.308993,-0.333709,0.000963,283,-317.411714
discuss_confidence,ai_knowledge,1.464188,0.18723,1.097224,1.831153,0.0,283,-317.411714
discuss_confidence,ai_required_likelihood,0.49932,0.201089,0.105192,0.893447,0.013025,283,-317.411714
discuss_confidence,ai_training,0.248074,0.235141,-0.212794,0.708943,0.291425,283,-317.411714
discuss_confidence,ai_experience,0.006291,0.170089,-0.327078,0.339659,0.970498,283,-317.411714
discuss_confidence,current_ai_use,-0.072629,0.161246,-0.388664,0.243407,0.652406,283,-317.411714
discuss_confidence,role_Advanced Practitioner (Nurse Practitioner or Physician Assistant),0.518893,0.42979,-0.323479,1.361265,0.227309,283,-317.411714
discuss_confidence,role_Physician,0.488077,0.416568,-0.328381,1.304534,0.241332,283,-317.411714
discuss_confidence,role_Resident or Fellow,-0.484239,0.759755,-1.973331,1.004852,0.523889,283,-317.411714
discuss_confidence,1/2,4.308558,0.889725,2.564729,6.052387,1e-06,283,-317.411714
discuss_confidence,2/3,0.56113,0.103062,0.359132,0.763129,0.0,283,-317.411714
discuss_confidence,3/4,0.621455,0.114785,0.39648,0.846429,0.0,283,-317.411714
discuss_confidence,4/5,0.599239,0.186719,0.233277,0.965201,0.001331,283,-317.411714
