column,source item,definition,released values / coding,missingness,n non-missing,n distinct
included_clair_analysis,Derived,Record has at least one non-missing ClAIR component and belongs to the 307-record ClAIR analytic sample.,False; True,Blank means not answered or structurally skipped; see S1 for survey logic.,314,2
n_clair_components,Derived,"Number of non-missing ClAIR component items among q10, q12, q13, q19, and q20.",0; 3; 4; 5,Blank means not answered or structurally skipped; see S1 for survey logic.,314,4
gender.q2,Q2,What terms best express how you describe your gender identity?,Man; Suppressed for confidentiality; Woman,Blank means not answered or structurally skipped; see S1 for survey logic.,314,3
pro_role.q4,Q4,Which option best describes your current professional role?,Advanced Practitioner (Nurse Practitioner or Physician Assistant); Medical Student; Physician; Resident or Fellow; Suppressed for confidentiality,Blank means not answered or structurally skipped; see S1 for survey logic.,314,5
ai_familiar.q10,Q10,How familiar are you with AI in healthcare?,Extremely familiar; Moderately familiar; Not at all familiar; Slightly familiar; Very familiar,Blank means not answered or structurally skipped; see S1 for survey logic.,307,5
ai_experience.q11,Q11,Do you have any experience using AI in healthcare?,No; Unsure; Yes,Blank means not answered or structurally skipped; see S1 for survey logic.,306,3
ai_willing_to_use.q12,Q12,How willing are you to use AI in healthcare if you have the opportunity to do so?,Extremely willing; Moderately willing; Not at all willing; Slightly willing; Very willing,Blank means not answered or structurally skipped; see S1 for survey logic.,305,5
ai_use_gen_opinion.q13,Q13,What is your general opinion on the use of AI in healthcare?,Favorable; Neither favorable nor unfavorable; Unfavorable; Very favorable; Very unfavorable,Blank means not answered or structurally skipped; see S1 for survey logic.,304,5
ai_improve_healthcare_practices.q14,Q14,How important is AI integration for improving healthcare practices?,Extremely important; Important; Not at all important; Somewhat important; Very important,Blank means not answered or structurally skipped; see S1 for survey logic.,305,5
ai_improve_health_outcomes.q15,Q15,How important is AI integration for improving health outcomes?,Extremely important; Important; Not at all important; Somewhat important; Very important,Blank means not answered or structurally skipped; see S1 for survey logic.,306,5
ai_required_likelihood.q16,Q16,How likely is it that you will be required to use AI in healthcare in the future?,Extremely likely; Extremely unlikely; Likely; Unlikely,Blank means not answered or structurally skipped; see S1 for survey logic.,306,4
ai_knowledge.q17,Q17,How would you rate your knowledge of AI in healthcare?,High; Low; Moderate; Very high; Very low,Blank means not answered or structurally skipped; see S1 for survey logic.,302,5
ai_training.q18,Q18,Have you received specific training or education on AI in healthcare?,"No; Yes; Yes, but very limited",Blank means not answered or structurally skipped; see S1 for survey logic.,302,3
